IDREGION,FYEAR,DEKAD,FAPAR
FRB04,2000,15,68.83612088309096
FRB04,2000,19,60.26237479602918
FRB04,2000,21,56.28773489749332
FRB04,2000,22,55.06619209484943
FRB04,2000,23,54.29466322314678
FRB04,2000,24,53.75192442550725
FRB04,2000,25,53.0738584323184
FRB04,2000,26,52.17174705260506
FRB04,2000,27,51.19168738970711
FRB04,2000,28,50.01294879597077
FRB04,2000,29,48.85517375594497
FRB04,2000,30,47.78902755119543
FRB04,2000,31,46.91882053450325
FRB04,2000,32,46.01691298684713
FRB04,2000,33,45.390530607143646
FRB04,2000,34,45.4600268790751
FRB04,2000,35,45.81824248614862
FRB04,2000,36,46.110502232355
FRB04,2001,1,45.444767859716194
FRB04,2001,2,44.49749809794456
FRB04,2001,3,43.88446278382701
FRB04,2001,4,43.66104917610694
FRB04,2001,5,43.60050615659152
FRB04,2001,6,43.83674642157973
FRB04,2001,7,44.94106033077894
FRB04,2001,8,47.16561382834473
FRB04,2001,9,50.315380638622806
FRB04,2001,10,54.462730286730014
FRB04,2001,11,59.04857310093452
FRB04,2001,12,62.60267100770914
FRB04,2001,13,65.76034049901526
FRB04,2001,14,67.78547272095913
FRB04,2001,15,68.5787340129623
FRB04,2001,16,67.46546125665611
FRB04,2001,17,65.5444935595308
FRB04,2001,18,62.99207012556968
FRB04,2001,19,60.88084822589903
FRB04,2001,20,59.39680370638686
FRB04,2001,21,57.778273000849104
FRB04,2001,22,57.64097610850938
FRB04,2001,23,57.83038803059711
FRB04,2001,24,57.82612397686726
FRB04,2001,25,57.59748976033721
FRB04,2001,26,56.89018209772909
FRB04,2001,27,55.89538643736528
FRB04,2001,28,55.06658436971713
FRB04,2001,29,54.42983534905624
FRB04,2001,30,54.2848994367236
FRB04,2001,31,53.88318377939154
FRB04,2001,32,52.98261620466055
FRB04,2001,33,51.76013860306818
FRB04,2001,34,49.91979646218071
FRB04,2001,35,48.05710778808091
FRB04,2001,36,46.31576994931387
FRB04,2002,1,44.32276554173799
FRB04,2002,2,43.43596309532791
FRB04,2002,3,43.94983136349961
FRB04,2002,4,46.10430816262902
FRB04,2002,5,49.11180131906185
FRB04,2002,6,52.37961164200328
FRB04,2002,7,54.86071973344926
FRB04,2002,8,58.413443430400655
FRB04,2002,9,61.864386361792405
FRB04,2002,10,65.70933076659246
FRB04,2002,11,68.87981322683764
FRB04,2002,12,71.23363940437673
FRB04,2002,13,73.06975617422482
FRB04,2002,14,73.96426155844976
FRB04,2002,15,73.26148925473203
FRB04,2002,16,70.97550040278033
FRB04,2002,17,67.27499077099121
FRB04,2002,18,62.81104990532975
FRB04,2002,19,58.64780059445054
FRB04,2002,20,55.31769999692448
FRB04,2002,21,53.123475058370914
FRB04,2002,22,52.28209161832381
FRB04,2002,23,52.66541312938884
FRB04,2002,24,53.42218242274826
FRB04,2002,25,54.23975046502138
FRB04,2002,26,54.589976872399546
FRB04,2002,27,53.9573110769733
FRB04,2002,28,52.55393500299014
FRB04,2002,29,50.87313735887107
FRB04,2002,30,49.0747624007315
FRB04,2002,31,47.13543733602265
FRB04,2002,32,45.51726798611804
FRB04,2002,33,44.13489855709413
FRB04,2002,34,43.051064603941256
FRB04,2002,35,42.34260423419681
FRB04,2002,36,42.0250354148574
FRB04,2003,1,41.61763241168091
FRB04,2003,2,40.90250768408227
FRB04,2003,3,40.05377199594457
FRB04,2003,4,39.706754659074114
FRB04,2003,5,40.34619831485579
FRB04,2003,6,42.27118972276805
FRB04,2003,7,44.75575972102377
FRB04,2003,8,48.47075193199793
FRB04,2003,9,52.52973525738691
FRB04,2003,10,57.30015474787088
FRB04,2003,11,61.25526578987983
FRB04,2003,12,64.71531630749249
FRB04,2003,13,67.4840874217052
FRB04,2003,14,69.26332639991269
FRB04,2003,15,69.88053633105179
FRB04,2003,16,68.55709477881511
FRB04,2003,17,65.88410499361092
FRB04,2003,18,62.43080831347
FRB04,2003,19,59.17213213103791
FRB04,2003,20,56.36429574937216
FRB04,2003,21,54.04514313354986
FRB04,2003,22,51.74451501715565
FRB04,2003,23,49.73778175263984
FRB04,2003,24,48.29484751364431
FRB04,2003,25,47.84998469139495
FRB04,2003,26,48.22466700289705
FRB04,2003,27,49.31847265087197
FRB04,2003,28,50.42970564858153
FRB04,2003,29,51.15798711395122
FRB04,2003,30,50.9277968271437
FRB04,2003,31,49.50972606052292
FRB04,2003,32,47.75728370460291
FRB04,2003,33,46.43545140368151
FRB04,2003,34,45.998632601695896
FRB04,2003,35,46.25094259567511
FRB04,2003,36,46.57401997761768
FRB04,2004,1,46.94607037022321
FRB04,2004,2,47.3465602745826
FRB04,2004,3,48.04331170296018
FRB04,2004,4,49.2175162225096
FRB04,2004,5,50.601989701916445
FRB04,2004,6,52.00250808917215
FRB04,2004,7,53.77001977711067
FRB04,2004,8,56.384703049093936
FRB04,2004,9,59.81943532809659
FRB04,2004,10,63.9023717312003
FRB04,2004,11,67.66453165757652
FRB04,2004,12,70.99435528386218
FRB04,2004,13,73.70623447651057
FRB04,2004,14,75.15965362852242
FRB04,2004,15,74.48115830153205
FRB04,2004,16,70.8025368779934
FRB04,2004,17,65.54766558243142
FRB04,2004,18,59.86303658817838
FRB04,2004,19,54.89294492200453
FRB04,2004,20,51.358365906793296
FRB04,2004,21,49.45225449487898
FRB04,2004,22,49.419097418496925
FRB04,2004,23,50.75290750955399
FRB04,2004,24,52.70011007708374
FRB04,2004,25,54.34762200157482
FRB04,2004,26,54.62221589563744
FRB04,2004,27,53.55823990159337
FRB04,2004,28,52.0363761988592
FRB04,2004,29,50.19790506583736
FRB04,2004,30,48.57210470644624
FRB04,2004,31,46.8110140504084
FRB04,2004,32,45.4186300945569
FRB04,2004,33,44.4497030215548
FRB04,2004,34,44.31195797880803
FRB04,2004,35,45.15914505275956
FRB04,2004,36,46.00098207690473
FRB04,2005,1,46.0742250522665
FRB04,2005,2,45.73044250590111
FRB04,2005,3,45.697347967828335
FRB04,2005,4,45.99755150823425
FRB04,2005,5,46.69354341730818
FRB04,2005,6,48.09313342544505
FRB04,2005,7,49.76739621542124
FRB04,2005,8,52.85284186460272
FRB04,2005,9,57.49927398112158
FRB04,2005,10,63.44407765842963
FRB04,2005,11,68.37313503822475
FRB04,2005,12,72.1192320926473
FRB04,2005,13,74.37822972269187
FRB04,2005,14,74.81996142841798
FRB04,2005,15,73.49740924543111
FRB04,2005,16,70.15979916499997
FRB04,2005,17,65.63850346049097
FRB04,2005,18,60.60173506869893
FRB04,2005,19,56.1713859400699
FRB04,2005,20,52.75680616330444
FRB04,2005,21,50.287432323894926
FRB04,2005,22,48.57165823829367
FRB04,2005,23,47.5452018938305
FRB04,2005,24,46.80455163351269
FRB04,2005,25,46.34764859162411
FRB04,2005,26,45.98153425543611
FRB04,2005,27,45.82638551471643
FRB04,2005,28,46.09632541678664
FRB04,2005,29,46.7868771904419
FRB04,2005,30,47.77681821987056
FRB04,2005,31,49.0625123277134
FRB04,2005,32,49.73980384071354
FRB04,2005,33,49.62804592734565
FRB04,2005,34,48.59033055649475
FRB04,2005,35,46.92619076366112
FRB04,2005,36,44.98483290493439
FRB04,2006,1,42.21474831164916
FRB04,2006,2,39.90858871496955
FRB04,2006,3,38.26710825189206
FRB04,2006,4,37.51675058345794
FRB04,2006,5,38.19307812199823
FRB04,2006,6,40.26984975307787
FRB04,2006,7,42.56024481893405
FRB04,2006,8,46.81536500170028
FRB04,2006,9,52.16340849052438
FRB04,2006,10,58.46484964295199
FRB04,2006,11,63.3186262841559
FRB04,2006,12,67.13577477896301
FRB04,2006,13,69.76456866014297
FRB04,2006,14,71.14276108353717
FRB04,2006,15,70.9819518131509
FRB04,2006,16,68.69970389559418
FRB04,2006,17,64.58846307569912
FRB04,2006,18,59.469405389301166
FRB04,2006,19,54.65416506676896
FRB04,2006,20,50.91742490091617
FRB04,2006,21,48.45841688443266
FRB04,2006,22,47.18591972311901
FRB04,2006,23,47.043464447891054
FRB04,2006,24,47.53963964848591
FRB04,2006,25,48.548585102641454
FRB04,2006,26,49.87410115117999
FRB04,2006,27,51.53660496622846
FRB04,2006,28,53.37483742564204
FRB04,2006,29,55.02498339735025
FRB04,2006,30,56.25341910817073
FRB04,2006,31,56.850121835943945
FRB04,2006,32,56.76269592101979
FRB04,2006,33,56.45199577548435
FRB04,2006,34,56.29011016323108
FRB04,2006,35,55.74119599935928
FRB04,2006,36,55.06423032865494
FRB04,2007,1,54.17499114635682
FRB04,2007,2,54.03420977380305
FRB04,2007,3,54.6287955530887
FRB04,2007,4,55.9542906943614
FRB04,2007,5,57.75574926360995
FRB04,2007,6,60.1230131458318
FRB04,2007,7,62.38260443775588
FRB04,2007,8,65.46819098105718
FRB04,2007,9,68.57544723743753
FRB04,2007,10,71.73063043906762
FRB04,2007,11,74.24770434224504
FRB04,2007,12,75.73032108386104
FRB04,2007,13,75.67468179079937
FRB04,2007,14,73.97305014277612
FRB04,2007,15,70.94867323393196
FRB04,2007,16,66.394773352336
FRB04,2007,17,62.30958147121456
FRB04,2007,18,58.946000178836805
FRB04,2007,19,56.8805751295877
FRB04,2007,20,55.81604604854032
FRB04,2007,21,55.4080617891218
FRB04,2007,22,55.2743258738222
FRB04,2007,23,55.058211321493474
FRB04,2007,24,54.83516773404256
FRB04,2007,25,54.31308339820931
FRB04,2007,26,53.45067257357314
FRB04,2007,27,52.4529666658084
FRB04,2007,28,51.40668657214284
FRB04,2007,29,50.29359287556932
FRB04,2007,30,48.83048899269072
FRB04,2007,31,46.85581660444632
FRB04,2007,32,45.07792524976279
FRB04,2007,33,43.85691706344855
FRB04,2007,34,43.47225104605514
FRB04,2007,35,43.32803214917924
FRB04,2007,36,42.96915221234903
FRB04,2008,1,42.244220548092365
FRB04,2008,2,42.20799051900874
FRB04,2008,3,43.11292932295754
FRB04,2008,4,44.95435363644624
FRB04,2008,5,47.189319277641566
FRB04,2008,6,50.165703450323
FRB04,2008,7,53.196886459362126
FRB04,2008,8,56.90587829881527
FRB04,2008,9,60.68259298944934
FRB04,2008,10,64.72694107891296
FRB04,2008,11,68.08289580060699
FRB04,2008,12,70.9503816260452
FRB04,2008,13,73.40247518612728
FRB04,2008,14,74.5756424262497
FRB04,2008,15,73.79140488522984
FRB04,2008,16,70.82000545762705
FRB04,2008,17,66.77955318933347
FRB04,2008,18,62.060202958760335
FRB04,2008,19,57.75053646528428
FRB04,2008,20,54.3945087872084
FRB04,2008,21,52.24855154536079
FRB04,2008,22,51.40610927230823
FRB04,2008,23,51.63251144889416
FRB04,2008,24,52.107401539180536
FRB04,2008,25,52.384877245786605
FRB04,2008,26,52.18407626864877
FRB04,2008,27,51.244385065975
FRB04,2008,28,49.80275416126497
FRB04,2008,29,47.83568920694818
FRB04,2008,30,45.55812647203186
FRB04,2008,31,42.83636515038975
FRB04,2008,32,41.06472737684106
FRB04,2008,33,40.02353328534879
