IDREGION,SM_WHC
FRG01,0.17
FRG02,0.17
FRG04,0.16
FRM01,0.13
FRH02,0.17
FRI13,0.15
FRJ12,0.16
FRJ13,0.15
FRF24,0.17
FRF32,0.16
FRB03,0.16
FRK24,0.19
FRK26,0.19
FRL01,0.18
FRL04,0.16
FRC14,0.18
FRM02,0.15
FRH03,0.18
FRJ14,0.15
FR104,0.17
FRB01,0.16
FRF33,0.15
FRH04,0.17
FRD11,0.18
FRE23,0.19
FRF11,0.16
FRF12,0.16
FR103,0.16
FR106,0.18
FRB02,0.19
FRB04,0.16
FRB05,0.17
FRK12,0.14
FRG05,0.16
FRL03,0.15
FRC24,0.15
FRD12,0.18
FRE22,0.18
FR107,0.18
FRJ22,0.15
FRJ23,0.16
FRJ24,0.16
FRF23,0.25
FRK28,0.21
FRL02,0.18
FRL06,0.17
FRI11,0.16
FRI14,0.15
FRE21,0.18
FRJ15,0.17
FRJ25,0.16
FRJ27,0.15
FRK22,0.15
FRG03,0.18
FRC12,0.16
FRC13,0.16
FRC21,0.18
FRH01,0.18
FRI21,0.13
FRE11,0.19
FRI33,0.18
FRB06,0.16
FRK27,0.19
FRC23,0.17
FRD13,0.17
FRD21,0.19
FRI12,0.13
FRI15,0.17
FRE12,0.2
FRI32,0.18
FRI34,0.18
FRJ21,0.15
FRJ26,0.16
FRF34,0.14
FRK21,0.17
FRK23,0.15
FRK25,0.15
FRC11,0.17
FRL05,0.17
FRC22,0.17
FRD22,0.2
FRI22,0.15
FRI23,0.14
FRI31,0.18
FRJ11,0.15
FR102,0.18
FR108,0.17
FRF21,0.2
FRF22,0.21
FRJ28,0.16
FRF31,0.16
FRK11,0.15
FRK13,0.15
FRK14,0.14
