crop_name,loc_id,year,yield
Grain maize,FR102,1989,7.9
Grain maize,FR102,1990,5.5
Grain maize,FR102,1991,7.7
Grain maize,FR102,1992,7.1
Grain maize,FR102,1993,7.7
Grain maize,FR102,1994,8.0
Grain maize,FR102,1995,7.7
Grain maize,FR102,1996,8.0
Grain maize,FR102,1997,9.5
Grain maize,FR102,1998,8.587
Grain maize,FR102,1999,10.044
Grain maize,FR102,2000,10.043
Grain maize,FR102,2001,9.11
Grain maize,FR102,2002,8.884
Grain maize,FR102,2003,7.392
Grain maize,FR102,2004,9.561
Grain maize,FR102,2005,10.0
Grain maize,FR102,2006,9.195
Grain maize,FR102,2007,10.742
Grain maize,FR102,2008,9.535
Grain maize,FR102,2009,9.734
Grain maize,FR102,2010,10.82
Grain maize,FR102,2011,11.05
Grain maize,FR102,2012,9.62
Grain maize,FR102,2013,9.789
Grain maize,FR102,2014,10.81
Grain maize,FR102,2015,8.58
Grain maize,FR102,2016,7.075
Grain maize,FR102,2017,11.413
Grain maize,FR102,2018,8.27
Grain maize,FR102,2019,8.31
Grain maize,FR102,2020,7.15
Grain maize,FR103,1989,6.9
Grain maize,FR103,1990,4.7
Grain maize,FR103,1991,6.9
Grain maize,FR103,1992,7.832
Grain maize,FR103,1993,7.2
Grain maize,FR103,1994,8.4
Grain maize,FR103,1995,7.1
Grain maize,FR103,1996,7.1
Grain maize,FR103,1997,8.5
Grain maize,FR103,1998,8.629
Grain maize,FR103,1999,8.4
Grain maize,FR103,2000,9.7
Grain maize,FR103,2001,8.112
Grain maize,FR103,2002,8.515
Grain maize,FR103,2003,6.653
Grain maize,FR103,2004,9.156
Grain maize,FR103,2005,8.607
Grain maize,FR103,2006,9.012
Grain maize,FR103,2007,9.9
Grain maize,FR103,2008,9.64
Grain maize,FR103,2009,8.788
Grain maize,FR103,2010,9.46
Grain maize,FR103,2011,10.51
Grain maize,FR103,2012,9.24
Grain maize,FR103,2013,9.689
Grain maize,FR103,2014,10.818
Grain maize,FR103,2015,8.381
Grain maize,FR103,2016,6.65
Grain maize,FR103,2017,10.589
Grain maize,FR103,2018,8.31
Grain maize,FR103,2019,7.72
Grain maize,FR103,2020,6.36
Grain maize,FR104,1989,6.1
Grain maize,FR104,1990,4.3
Grain maize,FR104,1991,8.3
Grain maize,FR104,1992,6.0
Grain maize,FR104,1993,8.0
Grain maize,FR104,1994,8.5
Grain maize,FR104,1995,7.7
Grain maize,FR104,1996,7.509
Grain maize,FR104,1997,9.009
Grain maize,FR104,1998,8.333
Grain maize,FR104,1999,9.335
Grain maize,FR104,2000,9.698
Grain maize,FR104,2001,9.15
