adm_id,year,SM_WHC,avgTAVGp0,avgCWBp0,avgPRECp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgTAVGp3,avgPRECp3,avgCWBp4,Z-TAVGp1,Z-TMINp1,Z-PRECp1,Z+TAVGp1,Z+TMINp1,Z+PRECp1,Z-TAVGp3,Z-CWBp3,Z-PRECp3,Z-TMAXp3,Z+TAVGp3,Z+CWBp3,Z+PRECp3,Z+TMAXp3,avgFAPARp2,yield
AL_CALHOUN,2002,11.104715807403592,13.81,-3.45,25.58,21.22,21.48,24.45,-157.73,26.0,58.03,-113.29,0.0,0.0,0.89,4.31,4.37,0.0,0.27,0.0,0.12,2.08,0.65,1.57,5.32,0.01,0.68,6.456
AL_CALHOUN,2004,11.104715807403592,13.19,8.54,27.84,22.38,31.47,24.75,-100.58,25.04,39.88,-102.58,0.0,0.0,0.97,5.03,5.68,1.41,1.12,0.0,0.07,0.65,0.2,1.79,2.62,0.08,0.77,9.684
AL_CALHOUN,2006,11.104715807403592,13.59,-17.22,23.1,21.44,17.3,25.58,-325.79,28.36,23.39,-505.13,0.0,0.0,1.85,4.44,5.33,0.4,0.0,3.08,0.17,0.0,3.56,0.0,0.32,3.06,0.65,4.102
AL_CALHOUN,2007,11.104715807403592,13.1,-50.12,19.23,22.36,7.14,25.29,-344.59,28.5,20.35,-464.67,0.0,0.0,2.81,5.02,4.02,0.0,0.0,2.58,0.87,0.57,3.76,0.0,0.58,3.48,0.6,6.053
AL_CALHOUN,2010,11.104715807403592,12.07,102.05,34.43,22.48,44.29,25.73,48.02,27.5,72.61,128.26,0.0,0.0,0.02,5.1,5.68,2.18,0.0,0.0,0.0,0.85,2.41,4.67,7.33,0.0,0.72,7.956
AL_CALHOUN,2011,11.104715807403592,13.85,35.63,30.37,21.56,9.69,25.91,-196.38,26.96,66.98,-245.25,0.0,0.0,2.47,4.52,3.81,0.0,0.0,0.0,0.0,1.41,1.67,0.51,6.51,1.01,0.71,8.043
AL_COLBERT,2000,11.548404485791965,12.42,84.68,39.01,22.34,19.38,25.37,-12.86,26.87,27.45,-206.94,0.0,0.0,1.17,5.01,5.38,0.0,0.0,0.0,1.06,0.0,1.55,1.41,1.8,2.47,0.54,6.658
AL_COLBERT,2004,11.548404485791965,11.95,105.32,35.31,21.93,36.68,24.31,61.24,24.34,28.26,13.41,0.0,0.0,0.85,4.75,5.6,2.0,1.87,0.0,0.74,0.96,0.0,3.74,1.6,0.21,0.63,9.281
AL_COLBERT,2005,11.548404485791965,11.94,70.33,31.64,20.3,19.33,24.35,53.92,26.56,42.6,113.81,0.0,0.0,1.97,3.73,3.45,0.79,0.1,0.0,0.0,1.69,1.24,4.58,2.95,0.07,0.55,9.886
AL_COLBERT,2006,11.548404485791965,12.57,69.45,31.52,21.02,19.71,25.72,-164.06,29.28,14.1,-411.59,0.0,0.0,1.49,4.18,5.04,0.36,0.0,1.09,1.21,0.0,4.81,0.0,0.0,4.76,0.47,6.053
AL_COLBERT,2007,11.548404485791965,12.65,-63.89,17.69,22.83,11.24,25.5,-344.65,28.38,21.64,-476.01,0.0,0.0,2.26,5.32,4.94,0.0,0.1,2.65,0.67,0.3,3.69,0.0,0.56,4.18,0.49,5.716
AL_COLBERT,2010,11.548404485791965,11.16,103.11,34.63,21.81,53.53,25.64,77.87,27.38,76.06,141.23,0.0,0.0,0.0,4.67,5.23,3.4,0.0,0.0,0.0,1.35,2.24,4.89,7.83,0.51,0.64,9.603
AL_COLBERT,2011,11.548404485791965,12.61,91.93,37.09,20.73,19.2,25.93,-49.89,27.6,51.48,-120.71,0.0,0.0,1.2,4.0,3.45,0.0,0.0,0.0,0.03,0.0,2.55,2.02,4.28,1.44,0.56,8.83
AL_LAUDERDALE,2000,11.96848916802795,12.28,86.93,39.24,22.23,19.43,25.31,-5.69,26.79,27.52,-197.35,0.0,0.0,1.16,4.94,5.29,0.0,0.0,0.0,1.05,0.0,1.45,1.52,1.81,2.41,0.54,6.389
AL_LAUDERDALE,2004,11.96848916802795,11.84,105.01,35.31,21.91,37.66,24.31,62.22,24.32,29.01,15.75,0.0,0.0,0.81,4.74,5.57,2.09,1.89,0.0,0.78,0.96,0.0,3.75,1.75,0.21,0.63,9.079
AL_LAUDERDALE,2005,11.96848916802795,11.81,71.57,31.89,20.24,17.47,24.35,50.93,26.59,41.59,105.26,0.0,0.0,1.92,3.69,3.35,0.49,0.08,0.0,0.0,1.7,1.26,4.5,2.8,0.08,0.55,7.532
AL_LAUDERDALE,2006,11.96848916802795,12.45,69.74,31.3,20.94,19.22,25.63,-164.91,29.21,13.57,-411.7,0.0,0.0,1.44,4.13,4.87,0.25,0.0,1.11,1.28,0.0,4.71,0.0,0.0,4.58,0.49,5.649
AL_LAUDERDALE,2007,11.96848916802795,12.51,-61.07,18.08,22.8,11.02,25.51,-342.01,28.41,21.78,-476.84,0.0,0.0,2.29,5.3,4.86,0.0,0.08,2.66,0.67,0.29,3.72,0.0,0.58,4.19,0.5,6.187
AL_LAUDERDALE,2008,11.96848916802795,11.68,53.86,32.75,20.48,37.66,25.13,-96.74,26.51,31.32,-223.81,0.0,0.0,0.0,3.84,4.09,1.27,0.17,0.0,0.83,0.49,1.24,0.75,2.14,1.84,0.56,6.658
