crop_name,adm_id,latitude,longitude
maize,ES412,41.84807,-3.87632
maize,ES413,42.4113,-5.68645
maize,ES514,40.86232,0.57098
maize,ES521,38.2,-0.88411
maize,ES522,40.36508,0.07989
maize,ES523,39.3862,-0.58762
maize,ES532,39.73689,2.94548
maize,ES533,40.00684,4.02352
maize,ES611,37.45555,-2.25556
maize,ES612,36.59786,-5.94015
maize,ES613,37.81599,-4.99439
maize,ES414,42.41262,-4.67343
maize,ES614,37.24434,-3.75542
maize,ES615,37.75169,-7.11385
maize,ES616,38.03548,-3.86859
maize,ES617,37.10579,-4.67189
maize,ES415,40.99443,-5.5754
maize,ES416,41.2211,-4.41308
maize,ES417,41.58075,-2.86887
maize,ES418,41.65781,-5.10557
maize,ES419,41.82753,-5.74309
maize,ES111,43.08895,-8.59496
maize,ES112,43.11323,-7.572
maize,ES113,42.19387,-7.78684
maize,ES618,37.50512,-5.81387
maize,ES620,38.1893,-1.43707
maize,ES705,28.11818,-15.55454
maize,ES707,28.7,-18.0
maize,ES709,28.47143,-16.54286
maize,ES114,42.72535,-8.29535
maize,ES120,43.55671,-6.47065
maize,ES130,43.42863,-3.89545
maize,ES211,42.9655,-2.75258
maize,ES212,43.20135,-2.13431
maize,ES213,43.30779,-2.99522
maize,ES421,39.0489,-1.99314
maize,ES422,39.26904,-4.16304
maize,ES423,39.6437,-2.38957
maize,ES424,40.92142,-3.0692
maize,ES425,39.97782,-4.49185
maize,ES220,42.4273,-1.73358
maize,ES431,39.02606,-6.19655
maize,ES432,39.80093,-6.27123
maize,ES511,41.90971,2.24778
maize,ES230,42.27149,-1.97541
maize,ES241,41.86705,-0.05219
maize,ES242,40.73827,-1.00363
maize,ES243,41.86077,-1.07946
maize,ES512,42.16169,2.87706
maize,ES513,41.74448,0.71416
maize,ES300,40.19028,-3.57747
maize,ES411,40.97913,-4.85813
