crop_name,country_code,adm_id,harvest_year,yield,harvest_area,production
maize,ES,ES111,1998,3.083,12000.0,37000.0
maize,ES,ES111,1999,3.275,12000.0,39300.0
maize,ES,ES111,2000,3.268,13155.0,42996.0
maize,ES,ES111,2001,3.513,12766.0,44843.0
maize,ES,ES111,2002,2.25,896.0,2016.0
maize,ES,ES111,2003,4.885,11345.0,55423.0
maize,ES,ES111,2004,4.868,11029.0,53684.0
maize,ES,ES111,2005,4.885,10452.0,51060.0
maize,ES,ES111,2006,5.218,9964.0,51996.0
maize,ES,ES111,2007,4.714,8845.0,41696.0
maize,ES,ES111,2008,5.16,7938.0,40957.0
maize,ES,ES111,2009,7.42,8845.0,65630.0
maize,ES,ES111,2010,7.42,8233.0,61088.86
maize,ES,ES111,2011,7.347,8944.0,65711.568
maize,ES,ES111,2012,7.624,9262.0,70613.488
maize,ES,ES111,2013,7.74,9186.0,71099.64
maize,ES,ES111,2014,8.173,9232.0,75453.136
maize,ES,ES111,2015,7.74,8749.0,67717.26
maize,ES,ES111,2016,7.72,8388.0,64755.0
maize,ES,ES111,2017,6.02,7690.0,46293.0
maize,ES,ES111,2018,6.351,7614.0,48357.0
maize,ES,ES111,2019,5.96,6631.0,39521.0
maize,ES,ES111,2020,6.896,6488.0,44740.0
maize,ES,ES112,1998,3.07,4778.0,14670.0
maize,ES,ES112,1999,3.4,3903.0,13269.0
maize,ES,ES112,2000,3.881,2220.0,8616.0
maize,ES,ES112,2001,3.2,1971.0,6307.0
maize,ES,ES112,2002,2.25,896.0,2016.0
maize,ES,ES112,2003,5.089,1859.0,9461.0
maize,ES,ES112,2004,4.885,2196.0,10728.0
maize,ES,ES112,2005,5.905,2130.0,12577.0
maize,ES,ES112,2006,5.042,2027.0,10221.0
maize,ES,ES112,2007,4.552,1395.0,6350.0
maize,ES,ES112,2008,4.111,1455.0,5982.0
maize,ES,ES112,2009,9.88,1713.0,16924.0
maize,ES,ES112,2010,9.88,1939.0,19157.32
maize,ES,ES112,2011,6.748,1896.0,12794.208
maize,ES,ES112,2012,7.575,1799.0,13627.425
maize,ES,ES112,2013,7.419,1962.0,14556.078
maize,ES,ES112,2014,7.516,2271.0,17068.836
maize,ES,ES112,2015,7.33,2215.0,16235.95
maize,ES,ES112,2016,7.13,2331.0,16620.0
maize,ES,ES112,2017,6.35,2255.0,14318.0
maize,ES,ES112,2018,6.364,2300.0,14638.0
maize,ES,ES112,2019,5.96,2085.0,12427.0
maize,ES,ES112,2020,6.59,2063.0,13595.0
maize,ES,ES113,1998,3.5,4402.0,15406.0
maize,ES,ES113,1999,3.679,4231.0,15566.0
maize,ES,ES113,2000,6.39,2657.0,16978.0
maize,ES,ES113,2001,4.509,3325.0,14994.0
maize,ES,ES113,2003,4.844,2834.0,13729.0
maize,ES,ES113,2004,4.903,3177.0,15576.0
maize,ES,ES113,2005,4.793,2730.0,13084.0
maize,ES,ES113,2006,4.885,2570.0,12554.0
maize,ES,ES113,2007,4.858,2216.0,10766.0
maize,ES,ES113,2008,4.767,2072.0,9878.0
maize,ES,ES113,2009,8.2,2097.0,17195.0
maize,ES,ES113,2010,8.2,2162.0,17728.4
maize,ES,ES113,2011,7.38,1811.0,13365.18
maize,ES,ES113,2012,7.454,2044.0,15235.976
maize,ES,ES113,2013,7.379,1952.0,14403.808
maize,ES,ES113,2014,7.748,2013.0,15596.724
maize,ES,ES113,2015,7.73,2009.0,15529.57
maize,ES,ES113,2016,7.53,1951.0,14691.0
maize,ES,ES113,2017,6.35,1949.0,12376.0
maize,ES,ES113,2018,6.01,1962.0,11792.0
maize,ES,ES113,2019,6.512,1939.0,12627.0
maize,ES,ES113,2020,6.024,1900.0,11446.0
maize,ES,ES114,1998,3.939,10437.0,41111.0
maize,ES,ES114,1999,4.386,11480.0,50351.0
maize,ES,ES114,2000,3.687,8810.0,32480.0
maize,ES,ES114,2001,4.226,8866.0,37465.0
maize,ES,ES114,2002,1.747,3784.0,6609.0
maize,ES,ES114,2003,3.54,7895.0,27949.0
maize,ES,ES114,2004,4.885,7942.0,38799.0
maize,ES,ES114,2005,4.886,7390.0,36104.0
maize,ES,ES114,2006,5.199,6751.0,35097.0
maize,ES,ES114,2007,4.689,5899.0,27662.0
