crop_name,country_code,adm_id,harvest_year,yield,harvest_area,production
maize,NL,NL11,2008,11.6,806.0,9333.0
maize,NL,NL11,2009,12.7,424.0,5370.0
maize,NL,NL11,2010,11.2,376.0,4223.0
maize,NL,NL11,2011,11.1,343.0,3801.0
maize,NL,NL11,2012,13.4,467.0,6281.0
maize,NL,NL11,2013,11.1,224.0,2475.0
maize,NL,NL11,2014,13.0,142.0,1835.0
maize,NL,NL11,2015,11.7,196.0,2292.0
maize,NL,NL11,2016,12.3,102.0,1255.0
maize,NL,NL11,2017,11.5,115.0,1329.0
maize,NL,NL11,2018,10.6,169.0,1797.0
maize,NL,NL11,2019,9.0,156.0,1394.0
maize,NL,NL11,2020,12.0,177.0,2119.0
maize,NL,NL12,2008,6.2,641.0,3978.0
maize,NL,NL12,2009,12.7,360.0,4564.0
maize,NL,NL12,2010,10.7,218.0,2333.0
maize,NL,NL12,2011,10.1,151.0,1520.0
maize,NL,NL12,2012,11.4,181.0,2063.0
maize,NL,NL12,2013,12.1,178.0,2165.0
maize,NL,NL12,2014,9.0,89.0,797.0
maize,NL,NL12,2016,12.3,27.0,333.0
maize,NL,NL12,2018,10.6,51.0,538.0
maize,NL,NL12,2019,9.0,63.0,563.0
maize,NL,NL13,2008,12.6,1768.0,22249.0
maize,NL,NL13,2009,13.1,1277.0,16711.0
maize,NL,NL13,2010,11.5,1161.0,13352.0
maize,NL,NL13,2011,11.4,1001.0,11392.0
maize,NL,NL13,2012,12.2,928.0,11340.0
maize,NL,NL13,2013,11.0,921.0,10134.0
maize,NL,NL13,2014,12.9,781.0,10053.0
maize,NL,NL13,2015,7.6,784.0,5930.0
maize,NL,NL13,2016,13.0,526.0,6838.0
maize,NL,NL13,2017,11.5,607.0,7007.0
maize,NL,NL13,2018,10.6,728.0,7719.0
maize,NL,NL13,2019,9.0,638.0,5713.0
maize,NL,NL13,2020,12.0,771.0,9222.0
maize,NL,NL21,2008,9.8,1338.0,13116.0
maize,NL,NL21,2009,12.7,1081.0,13687.0
maize,NL,NL21,2010,9.9,910.0,9037.0
maize,NL,NL21,2011,11.1,809.0,8953.0
maize,NL,NL21,2012,11.7,839.0,9840.0
maize,NL,NL21,2013,11.3,943.0,10679.0
maize,NL,NL21,2014,11.6,655.0,7617.0
maize,NL,NL21,2015,10.4,495.0,5152.0
maize,NL,NL21,2016,13.3,366.0,4849.0
maize,NL,NL21,2017,13.4,422.0,5662.0
maize,NL,NL21,2018,8.8,507.0,4460.0
maize,NL,NL21,2019,9.4,770.0,7223.0
maize,NL,NL21,2020,12.9,849.0,10964.0
maize,NL,NL22,2008,11.5,3065.0,35144.0
