crop_name,adm_id,latitude,longitude
wheat,ES412,42.34031,-3.7517
wheat,ES413,42.4325,-5.49008
wheat,ES514,41.48305,1.1803
wheat,ES521,38.6553,-0.83279
wheat,ES522,40.46518,-0.27144
wheat,ES523,39.46724,-1.18348
wheat,ES531,38.97682,1.41213
wheat,ES532,39.60933,2.93592
wheat,ES533,40.03894,4.03949
wheat,ES611,37.7697,-2.28468
wheat,ES612,36.77748,-5.91687
wheat,ES613,38.13816,-5.02956
wheat,ES414,42.27905,-4.56762
wheat,ES614,37.5246,-3.20293
wheat,ES615,37.4683,-6.77608
wheat,ES616,38.01452,-3.58031
wheat,ES617,37.01336,-4.84685
wheat,ES415,40.98331,-5.63915
wheat,ES416,41.25884,-4.15593
wheat,ES417,41.61773,-2.56369
wheat,ES418,41.72733,-4.91378
wheat,ES419,41.70885,-5.66385
wheat,ES111,43.08649,-8.39956
wheat,ES112,43.09327,-7.54724
wheat,ES113,42.09527,-7.72596
wheat,ES618,37.38369,-5.61376
wheat,ES620,38.10273,-1.87231
wheat,ES640,35.305,-3.0
wheat,ES703,27.8,-18.00073
wheat,ES704,28.4,-14.13333
wheat,ES705,28.06613,-15.60542
wheat,ES706,28.1,-17.2
wheat,ES707,28.73684,-17.89474
wheat,ES708,29.1384,-13.5966
wheat,ES709,28.25502,-16.63494
wheat,ES114,42.67246,-8.25963
wheat,ES120,43.51008,-6.62442
wheat,ES130,42.90028,-4.1107
wheat,ES211,42.84229,-2.71566
wheat,ES212,43.11285,-2.19286
wheat,ES213,43.32222,-2.93333
wheat,ES421,39.0503,-2.0493
wheat,ES422,39.013,-3.66055
wheat,ES423,39.86848,-2.48672
wheat,ES424,40.80151,-2.76664
wheat,ES425,39.86785,-3.96051
wheat,ES220,42.59021,-1.80051
wheat,ES431,38.68771,-6.13394
wheat,ES432,39.58207,-6.22127
wheat,ES511,41.83498,1.81509
wheat,ES230,42.48702,-2.78229
wheat,ES241,42.05396,-0.23174
wheat,ES242,40.8437,-1.01244
wheat,ES243,41.68938,-1.14518
wheat,ES512,42.14361,2.81108
wheat,ES513,41.82017,0.99405
wheat,ES300,40.41606,-3.54633
wheat,ES411,40.94414,-4.94772
